Factura,Referencia,Pedido,Almacen,Fecha_Conta,Fecha_Venc,Cliente,Nombre_Cliente,Nombre_Extran,Costo$,DiscPrcnt,IVA,Total$,USD$,Codigo,FrgnName,Quantity,UM,Domicilio,Colonia,Cuidad,Estado,CP,Transporte,DESTINO,DIRECCION,Lote,FISCAL,TELEFONO,RFC
242798,AHCPR0011865,193639.0,1,2026-08-20,2026-09-19,C08593,AHC PROFESSIONALS,"HILTON GRAND VACATIONS CABO AZUL, MX (SJDCA)",2520.0,0,403.2,2923.2,0.0,4029-A95,,2,CJA,CALLE PASEO MALECON LOTE 11,FONATUR LOS CABOS,SAN JOSE DEL CABO,BCS,23400,Cobro Regreso,"SAN JOSE DEL CABO, BCS.","CALLE PASEO MALECON LOTE 11, FONATUR LOS CABOS, 23400, SAN JOSE DEL CABO, BCS",,,,
242801,C08730,193644.0,1,2026-08-20,2026-10-04,C08730,GRUPO HOTELERO LUNA AZUL,VOCO GUADALAJARA NERUDA (GDLVO),489.6,0,78.34,567.94,0.0,4029-A90,,1,CJA,PABLO NERUDA 2828,PROVIDENCIA,GUADALAJARA,JAL,44639,Transporte LOCAL,"GUADALAJARA, JAL.","PABLO NERUDA 2828, PROVIDENCIA, 44639, GUADALAJARA, JAL",,,,
242802,,193646.0,1,2026-08-20,2026-08-20,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,1508.5,0,241.36,1749.86,0.0,4011-L10,,1,CJA,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,Cobro Destino,"GUADALAJARA, JAL.","PRIVADA DEL GALLO 1525, LA AURORA, 44460, GUADALAJARA, JAL",,,,
242803,,193007.0,1,2026-08-20,2026-08-20,C09134,NUS ADMINISTRADORA DE INMUEBLES,WYNDHAM GARDEN MAZATLAN (MZTWM),927.2,0,148.35,1075.55,0.0,5369-J04,,2,CJA,BLVD. LA MARINA 2207 INT A,MARINA,MAZATLAN,SIN,82103,Cobro Regreso,"MAZATLAN, SIN.","BLVD. LA MARINA 2207 INT A, MARINA, 82103, MAZATLAN, SIN",,,,
242804,,193045.0,1,2026-08-20,2026-08-20,C02352,SERVICIOS HOTELEROS EL TAJIN,LA QUINTA POZA RICA,927.2,0,148.35,1075.55,0.0,5369-J04,,2,CJA,LAS TORRES No.1,REFORMA,POZA RICA,VER,93210,Tres Guerras Ocurre Oficina,"POZA RICA, VER.","LAS TORRES No.1, REFORMA, 93210, POZA RICA, VER",,,,
242805,0000000915,193383.0,1,2026-08-20,2026-09-04,C05221,OPERADORA DE HOTELES Y SERVICIOS TURISTICOS SEA,RAMADA BY WIDHAM PERINORTE,927.2,0,148.35,1075.55,0.0,5369-J04,,2,CJA,AV DOCTOR GUSTAVO BAZ 4873,SAN PEDRO BARRIENTOS,TLALNEPANTLA DE BAZ,CMX,54010,Cobro Regreso,"TLALNEPANTLA DE BAZ, CMX.","AV DOCTOR GUSTAVO BAZ 4873, SAN PEDRO BARRIENTOS, 54010, TLALNEPANTLA DE BAZ, CMX",,,,
242806,INSUMOS HALCON,193517.0,1,2026-08-20,2026-09-19,C03073,INSUMOS HALCON,COURTYARD MARRIOTT SAN LUIS POTOSI A0152894,787.33,0,125.97,913.3,0.0,C06601-L09,,1,CJA,AV. BENITO JUAREZ 1230 B (CARRETERA 57),VALLE DORADO,SAN LUIS POTOSI,SLP,78399,One Paqueteria C.Regreso,"SAN LUIS POTOSI, SLP.","AV. BENITO JUAREZ 1230 B (CARRETERA 57), VALLE DORADO, 78399, SAN LUIS POTOSI, SLP",,,,
242808,,193598.0,1,2026-08-20,2026-09-04,C00829,HOTELES PUERTO BELLO,HOWARD JOHNSON VERACRUZ BY WYNDHAM,4172.4,0,667.58,4839.98,0.0,5369-J04,,9,CJA,BLVD.AVILA CAMACHO#1263 ESQ.ITURBIDE,RICARDO FLORES,VERACRUZ,VER,91936,Cobro Regreso,"VERACRUZ, VER.","BLVD.AVILA CAMACHO#1263 ESQ.ITURBIDE, RICARDO FLORES, 91936, VERACRUZ, VER",,,,
242812,oc 21,191555.0,1,2026-08-20,2026-09-19,C01774,GEORGINA GUADALUPE VILLASEÑOR DEL CASTILLO,HOTEL STORE PUERTO VALLARTA,6227.6,15,996.42,7223.96,364.96,JHRB-0514,,24,PZA,AV TEPIC NORTE 473,MEZCALES,BAHIA DE BANDERAS,NAY,63732,Sanchez Barcelata C.Regreso,"BAHIA DE BANDERAS, NAY.","AV TEPIC NORTE 473, MEZCALES, 63732, BAHIA DE BANDERAS, NAY",,,,
242813,XACOVEO HOTEL ESTAIO,193647.0,1,2026-08-20,2026-09-04,C09000,XACOVEO,HOTEL ESTADIO,11679.0,0,1868.64,13547.64,0.0,4016-L04,,10,CJA,CALLE ESTADIO #72,LAS CONCHAS,GUADALAJARA,JAL,44460,Transporte LOCAL,"GUADALAJARA, JAL.","CALLE ESTADIO #72, LAS CONCHAS, 44460, GUADALAJARA, JAL",,,,
242816,PEDIDO 1  18/08/2026,193648.0,1,2026-08-20,2026-09-19,C08350,OPERADORA TURISTICA SEBASTOPOL,"HILTON GARDEN INN PUEBLA ANGELÓPOLIS, MEXICO (PBCGI)",4599.0,0,735.84,5334.84,0.0,4011-L27,,3,CJA,BOULEVARD ATLIXCAYOTL 2528,RESERVA TERRITORIAL ATLIXCAYOTL,SAN ANDRES,PUE,72830,Cobro Regreso,"SAN ANDRES, PUE.","BOULEVARD ATLIXCAYOTL 2528, RESERVA TERRITORIAL ATLIXCAYOTL, 72830, SAN ANDRES, PUE",,,,
242819,,193653.0,1,2026-08-20,2026-10-04,C08706,ESNEIDER FERNANDO TABARES CEBALLOS,ESNEIDER FERNANDO TABARES CEBALLO,366.02,15,58.56,424.55,21.45,JHRB-0158,,3,PZA,CIRCUITO REAL SAN JOSE SUR No. 56,RESIDENCIAL PONIENTE,ZAPOPAN,JAL,45136,Cliente Pasa por Mercancia,"ZAPOPAN, JAL.","CIRCUITO REAL SAN JOSE SUR No. 56, RESIDENCIAL PONIENTE, 45136, ZAPOPAN, JAL",,,,
242821,HI la piedad,193654.0,1,2026-08-20,2026-09-04,C00456,HOTELERA BAJO LERMA,HOLIDAY INN LA PIEDAD (LPDEX),566.64,0,90.66,657.3,0.0,68732293,,1,CJA,KM.2.5 CARRETERA LA PIEDAD,MARGARITAS,LA PIEDAD,MCH,59300,Cobro Destino,"LA PIEDAD, MCH.","KM.2.5 CARRETERA LA PIEDAD, MARGARITAS, 59300, LA PIEDAD, MCH",,,,
242822,,193657.0,1,2026-08-20,2026-09-04,C02413,SINERGIA INMOBILIARIA DE MEXICO,CITY EXPRESS TORREON (CETRC),3149.32,0,503.89,3653.21,0.0,C06601-L10,,4,CJA,PERIFERICO RAUL LOPEZ SANCHEZ #5500,EL FRESNO,TORREON,COA,27018,Transportes Castores C.Regreso,"TORREON, COA.","PERIFERICO RAUL LOPEZ SANCHEZ #5500, EL FRESNO, 27018, TORREON, COA",,,,
