Factura,Referencia,Pedido,Almacen,Fecha_Conta,Fecha_Venc,Cliente,Nombre_Cliente,Nombre_Extran,Costo$,DiscPrcnt,IVA,Total$,USD$,Codigo,FrgnName,Quantity,UM,Domicilio,Colonia,Cuidad,Estado,CP,Transporte,DESTINO,DIRECCION,Lote,FISCAL,TELEFONO,RFC
242720,,193577.0,1,2026-08-19,2026-08-27,C01100,HOSTALES DEL CUPATITZIO,HOTEL REAL DE URUAPAN,2573.8,0,411.81,2985.61,0.0,4016-L07,ELEMENTS EVOLUTION B,2,CJA,NICOLAS BRAVO #110,CENTRO,URUAPAN,MCH,60000,Cobro Destino,"URUAPAN, MCH.","NICOLAS BRAVO #110, CENTRO, 60000, URUAPAN, MCH",,,,
242722,,193580.0,1,2026-08-19,2026-09-18,C06120,OPERADORA PARAISO 7373,GAMMA CUERNAVACA,2400.0,0,384.0,2784.0,0.0,JHEL-0022,,5,PZA,DOMINGO DIEZ 1099,DEL EMPLEADO,CUERNAVACA,MOR,62250,Cobro Regreso,"CUERNAVACA, MOR.","DOMINGO DIEZ 1099, DEL EMPLEADO, 62250, CUERNAVACA, MOR",,,,
242723,,193581.0,1,2026-08-19,2026-08-19,C09329,HOTELERA DE XALAPA,HOTEL HB XALAPA,1747.9,0,279.66,2027.56,0.0,4029-A93,,1,CJA,AV. LAZARO CARDENAS #9,FRACC. LAS ANIMAS,XALAPA,VER,91190,Cobro Regreso,"XALAPA, VER.","AV. LAZARO CARDENAS #9, FRACC. LAS ANIMAS, 91190, XALAPA, VER",,,,
242724,4700252900,193584.0,1,2026-08-19,2026-10-03,C08059,INMOBILIARIA 2242,JW MARRIOTT GUDALAJARA (GDLJW),2200.0,0,352.0,2552.0,0.0,4029-A92,,1,CJA,AVENIDA AMERICAS 1905 INT 12,ALDRETE,GUADALAJARA,JAL,44660,Transporte LOCAL,"GUADALAJARA, JAL.","AVENIDA AMERICAS 1905 INT 12, ALDRETE, 44660, GUADALAJARA, JAL",,,,
242725,,193586.0,1,2026-08-19,2026-08-19,C07286,OPERADORA HOTEL UNICO AVANDARO,HOTEL BOUTIQUE UNICO AVANDARO,879.9,0,140.78,1020.68,0.0,4052-L18,,1,CJA,CALLE BOSQUE DE RADIATAS #10 INT PISO 3 OFICINA 302,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,CMX,CUAJIMALPA DE MORELO,Cobro Destino,"CUAJIMALPA DE MORELOS, CMX.","CALLE BOSQUE DE RADIATAS #10 INT PISO 3 OFICINA 302, BOSQUES DE LAS LOMAS, CUAJIMALPA DE MORELO, CUAJIMALPA DE MORELOS, CMX",,,,
242726,motel la mansion,193588.0,1,2026-08-19,2026-08-19,C01502,OPERADORA DE SERVICIOS TORREON,MOTEL LA MANSION,5147.6,0,823.62,5971.22,0.0,4016-L07,ELEMENTS EVOLUTION B,4,CJA,CERRADA CASCABEL 104,VILLAS LAS PALMAS,TORREON,COA,27023,Cobro Destino,"TORREON, COA.","CERRADA CASCABEL 104, VILLAS LAS PALMAS, 27023, TORREON, COA",,,,
242728,7161976,193592.0,1,2026-08-19,2026-08-19,C08292,INMOBILIARIA BIME,HOTEL FRESNO GALERIAS,5489.4,0,878.3,6367.7,0.0,4018-J07,,6,CJA,BOULEVARD INDEPENDENCIA 3851 ORIENTE,FRESNO,TORREON,COA,27010,Red Express C.Destino,"TORREON, COA.","BOULEVARD INDEPENDENCIA 3851 ORIENTE, FRESNO, 27010, TORREON, COA",,,,
242729,agosto,193593.0,1,2026-08-19,2026-08-19,C05798,GLOBAL EXPRESS LA CASA ROSA,CASA ROSA GRAN HOTEL BOUTIQUE,2017.0,0,322.72,2339.72,0.0,4052-J07,,2,CJA,16 DE SEPTIEMBRE #303,CENTRO,PUEBLA,PUE,72000,Cobro Destino,"PUEBLA, PUE.","16 DE SEPTIEMBRE #303, CENTRO, 72000, PUEBLA, PUE",,,,
242730,ADMINISTRADORA BUSINESS AND FUN,193595.0,1,2026-08-19,2026-08-19,C08210,ADMINISTRADORA BUSINESS AND FUN,HOTEL PLAZA SOL,17383.1,0,2781.3,20164.4,0.0,4018-J07,,19,CJA,CALZ RUIZ CORTINEZ NO 5256  INT B,OTRA NO ESPECIFICADA,BOCA DEL RIO,VER,94299,Cobro Destino,"BOCA DEL RIO, VER.","CALZ RUIZ CORTINEZ NO 5256  INT B, OTRA NO ESPECIFICADA, 94299, BOCA DEL RIO, VER",,,,
242731,220035 maritza,193596.0,1,2026-08-19,2026-08-19,C08914,JESUS JOAQUIN RUBIO GARCIA,HOTEL NAVOLA INN,1192.5,0,190.8,1383.3,0.0,4018-L14,,1,CJA,BOULEVARD PERO INFANTE 2222,DESARROLLO URBANO TRES RIOS,CULIACAN,SIN,80020,Cobro Destino,"CULIACAN, SIN.","BOULEVARD PERO INFANTE 2222, DESARROLLO URBANO TRES RIOS, 80020, CULIACAN, SIN",,,,
242732,220172 MARITZA,193597.0,1,2026-08-19,2026-08-19,C09465,OFELIA PUENTE CORDOVA,HOTEL CAMPESTRE VILLAS DE ALCAZABA,3860.7,0,617.71,4478.41,0.0,4016-L07,ELEMENTS EVOLUTION B,3,CJA,CALLE MANUEL JOSE OTHON #118,CENTRO,CEDRAL,SLP,78520,Cobro Destino,"CEDRAL, SLP.","CALLE MANUEL JOSE OTHON #118, CENTRO, 78520, CEDRAL, SLP",,,,
242737,220181 maritza 6348,193516.0,1,2026-08-19,2026-09-03,C02299,FJH HOTELEROS,EJECUTIVO EXPRESS,664.9,0,106.38,771.28,0.0,4043-L39,,1,CJA,AV.MEXICO No.2920,TERRANOVA,GUADALAJARA,JAL,44689,Transporte LOCAL,"GUADALAJARA, JAL.","AV.MEXICO No.2920, TERRANOVA, 44689, GUADALAJARA, JAL",,,,
242738,eco hotel,193320.0,1,2026-08-19,2026-08-27,C05438,ECO HOTEL EJECUTIVO,ECO HOTEL EJECUTIVO,4096.0,0,655.36,4751.36,0.0,4043-L01,ALMOND & OLIVE SHAMP,4,CJA,AV. LAZARO CARDENAS 2773,JARDINES DEL BOSQUE,GUADALAJARA,JAL,44520,Transporte LOCAL,"GUADALAJARA, JAL.","AV. LAZARO CARDENAS 2773, JARDINES DEL BOSQUE, 44520, GUADALAJARA, JAL",,,,
242739,,193210.0,1,2026-08-19,2026-09-03,C06133,HOTELERA CARCUR CASTAÑEDA,BEST WESTERN SANTORINI,8623.2,0,1379.71,10002.91,0.0,4043-L01,ALMOND & OLIVE SHAMP,8,CJA,BOULEVARD TAMAULIPAS 2539,RESIDENCIAL CABAÑAS VICTORIA,VICTORIA,TAM,87025,Cobro Regreso,"VICTORIA, TAM.","BOULEVARD TAMAULIPAS 2539, RESIDENCIAL CABAÑAS VICTORIA, 87025, VICTORIA, TAM",,,,
242740,Gwesty accommodation,193121.0,1,2026-08-19,2026-09-18,C09637,GWESTY ACCOMMODATION,HOLIDAY INN EXPRESS & SUITES MEXICALI A0200941 (MXLBC),2320.44,0,371.27,2691.71,0.0,69706958,,4,CJA,CALZADA MANUEL GOMEZ MORIN 1950 INT 855 A,Rivera,Mexicali,BC,21259,Cobro Regreso,"Mexicali, BC.","CALZADA MANUEL GOMEZ MORIN 1950 INT 855 A, Rivera, 21259, Mexicali, BC",,,,
