FOLIO,FECHA,DESTINATARIO /  NOMBRE DEL HOTEL,CIUDAD,ESTADO,CONTACTO,TELEFONO,FORMA DE ENVIO,TRANSPORTE,GUIA,COSTO GUIA,PRODUCTO,PRECIO,PRODUCTO EXTRA,CANTIDAD EXTRA,DESCRIPCION EXTRA,DESTINATARIO /  NOMBRE DEL HOTEL
1,2026-02-07,,GDL,JALISCO,ADRIAN R ,3319753122,PAQUETERIA,CASTORES,325636525632.0,420.0,Accesorios Ecologicos,47.85,,,,CARLITOS
1,2026-02-07,,GDL,JALISCO,ADRIAN R ,3319753122,PAQUETERIA,CASTORES,325636525632.0,420.0,Dispensador Cava,230.58,,,,CARLITOS
1,2026-02-07,,GDL,JALISCO,ADRIAN R ,3319753122,PAQUETERIA,CASTORES,325636525632.0,420.0,Dispensador Dove,125.0,,,,CARLITOS
1,2026-02-07,,GDL,JALISCO,ADRIAN R ,3319753122,PAQUETERIA,CASTORES,325636525632.0,420.0,Kit Biogena,48.95,,,,CARLITOS
1,2026-02-07,,GDL,JALISCO,ADRIAN R ,3319753122,PAQUETERIA,CASTORES,325636525632.0,420.0,Kit Cava,34.59,,,,CARLITOS
1,2026-02-07,,GDL,JALISCO,ADRIAN R ,3319753122,PAQUETERIA,CASTORES,325636525632.0,420.0,Kit Botánicos,29.34,,,,CARLITOS
1,2026-02-07,,GDL,JALISCO,ADRIAN R ,3319753122,PAQUETERIA,CASTORES,325636525632.0,420.0,Rack JH Blanco 2 pzas,62.0,,,,CARLITOS
1,2026-02-07,,GDL,JALISCO,ADRIAN R ,3319753122,PAQUETERIA,CASTORES,325636525632.0,420.0,Soporte Ind INOX,608.0,,,,CARLITOS
1,2026-02-07,,GDL,JALISCO,ADRIAN R ,3319753122,PAQUETERIA,CASTORES,325636525632.0,420.0,EXTRA,0.0,BIOGENA,3.0,JABON DE MANOS,CARLITOS
2,2026-02-07,,GDL,JALISCO,ADRIAN R,3232323655,LOCAL,FEDEX,13232323223.0,420.0,Dispensador Cava,230.58,,,,CABAÑAS
2,2026-02-07,,GDL,JALISCO,ADRIAN R,3232323655,LOCAL,FEDEX,13232323223.0,420.0,Dispensador Dove,125.0,,,,CABAÑAS
2,2026-02-07,,GDL,JALISCO,ADRIAN R,3232323655,LOCAL,FEDEX,13232323223.0,420.0,Dispensador Biogena 400ml,184.87,,,,CABAÑAS
2,2026-02-07,,GDL,JALISCO,ADRIAN R,3232323655,LOCAL,FEDEX,13232323223.0,420.0,Kit Cava,34.59,,,,CABAÑAS
2,2026-02-07,,GDL,JALISCO,ADRIAN R,3232323655,LOCAL,FEDEX,13232323223.0,420.0,Kit Lavarino,36.3,,,,CABAÑAS
2,2026-02-07,,GDL,JALISCO,ADRIAN R,3232323655,LOCAL,FEDEX,13232323223.0,420.0,Kit Botánicos,29.34,,,,CABAÑAS
2,2026-02-07,,GDL,JALISCO,ADRIAN R,3232323655,LOCAL,FEDEX,13232323223.0,420.0,Soporte dob INOX,679.0,,,,CABAÑAS
3,2026-02-07,,ASAS,ASASAS,ASAS,ASAS,PAQUETERIA,SANCHEZ,21245636563,520.0,Dispensador Dove,125.0,,,,ASASAS
3,2026-02-07,,ASAS,ASASAS,ASAS,ASAS,PAQUETERIA,SANCHEZ,21245636563,520.0,Kit Biogena,48.95,,,,ASASAS
3,2026-02-07,,ASAS,ASASAS,ASAS,ASAS,PAQUETERIA,SANCHEZ,21245636563,520.0,Llave Macnetica,180.0,,,,ASASAS
4,2026-02-07,,ASAS,ASAS,ASAS,ASAS,PAQUETERIA,TRES GUERRAS,TLZ20302653,420.0,Dispensador Dove,125.0,,,,ASASAS
4,2026-02-07,,ASAS,ASAS,ASAS,ASAS,PAQUETERIA,TRES GUERRAS,TLZ20302653,420.0,Kit Elements,29.34,,,,ASASAS
4,2026-02-07,,ASAS,ASAS,ASAS,ASAS,PAQUETERIA,TRES GUERRAS,TLZ20302653,420.0,Kit Almond,33.83,,,,ASASAS
4,2026-02-07,,ASAS,ASAS,ASAS,ASAS,PAQUETERIA,TRES GUERRAS,TLZ20302653,420.0,Kit Biogena,48.95,,,,ASASAS
4,2026-02-07,,ASAS,ASAS,ASAS,ASAS,PAQUETERIA,TRES GUERRAS,TLZ20302653,420.0,Kit Cava,34.59,,,,ASASAS
4,2026-02-07,,ASAS,ASAS,ASAS,ASAS,PAQUETERIA,TRES GUERRAS,TLZ20302653,420.0,Kit Persa,58.02,,,,ASASAS
4,2026-02-07,,ASAS,ASAS,ASAS,ASAS,PAQUETERIA,TRES GUERRAS,TLZ20302653,420.0,Kit Lavarino,36.3,,,,ASASAS
4,2026-02-07,,ASAS,ASAS,ASAS,ASAS,PAQUETERIA,TRES GUERRAS,TLZ20302653,420.0,Kit Botánicos,29.34,,,,ASASAS
5,2026-02-07,,323232,33323,3333,3333,ENTREGA LOCAL,,,0.0,Kit Cava,34.59,,,,2121232
5,2026-02-07,,323232,33323,3333,3333,ENTREGA LOCAL,,,0.0,Kit Persa,58.02,,,,2121232
5,2026-02-07,,323232,33323,3333,3333,ENTREGA LOCAL,,,0.0,Kit Lavarino,36.3,,,,2121232
5,2026-02-07,,323232,33323,3333,3333,ENTREGA LOCAL,,,0.0,Rack JH Blanco 2 pzas,62.0,,,,2121232
